round,domain,train_loss,kl_loss,acc
0,caltech,2.7609143257141113,0.004254850093275309,0.20000000000000004
0,amazon,1.6137783527374268,0.0022267866879701614,0.3723958333333333
0,webcam,1.864401936531067,0.00378275103867054,0.29310344827586204
0,dslr,2.19516921043396,0.00047260450082831085,0.282258064516129
1,caltech,1.56809401512146,0.88614821434021,0.27111111111111114
1,amazon,0.8581128120422363,0.7199230194091797,0.5208333333333333
1,webcam,0.49401527643203735,0.7334581613540649,0.603448275862069
1,dslr,4.6562395095825195,2.051703453063965,0.16129032258064513
2,caltech,1.074702262878418,0.8009685277938843,0.32
2,amazon,0.6371545791625977,0.6586742401123047,0.5416666666666667
2,webcam,0.17905639111995697,0.7668722867965698,0.603448275862069
2,dslr,3.8621506690979004,1.4954302310943604,0.17741935483870966
3,caltech,0.5644984245300293,0.7761179208755493,0.35111111111111115
3,amazon,0.36094236373901367,0.7077479362487793,0.5442708333333333
3,webcam,0.041586004197597504,0.813933253288269,0.6896551724137931
3,dslr,1.2421624660491943,1.1789982318878174,0.29838709677419356
4,caltech,0.3875620365142822,0.885128378868103,0.3496296296296297
4,amazon,0.31779709458351135,0.696913480758667,0.5885416666666666
4,webcam,0.06149190664291382,0.8353838920593262,0.6551724137931034
4,dslr,0.6810793876647949,1.1400777101516724,0.24193548387096775
5,caltech,0.3873959481716156,0.8795595169067383,0.3674074074074074
5,amazon,0.20936909317970276,0.795250654220581,0.5911458333333334
5,webcam,0.08965247124433517,0.832543671131134,0.7586206896551724
5,dslr,0.2918364107608795,1.0586031675338745,0.33870967741935487
6,caltech,0.40511125326156616,0.8246699571609497,0.33185185185185184
6,amazon,0.19528153538703918,0.7331708073616028,0.5989583333333333
6,webcam,0.026293843984603882,0.7892071604728699,0.6896551724137931
6,dslr,0.17047598958015442,1.0498886108398438,0.32258064516129026
7,caltech,0.29564791917800903,0.8629302978515625,0.37777777777777777
7,amazon,0.1294248402118683,0.795194149017334,0.6145833333333333
7,webcam,0.017285656183958054,0.7710664868354797,0.7413793103448276
7,dslr,0.21951323747634888,1.187549352645874,0.3548387096774194
8,caltech,0.2760712802410126,0.8044747710227966,0.3644444444444444
8,amazon,0.08973084390163422,0.7472679615020752,0.6328125
8,webcam,0.018234198912978172,0.7451047301292419,0.6724137931034483
8,dslr,0.225791335105896,1.1070048809051514,0.3629032258064516
9,caltech,0.26167476177215576,0.8324229121208191,0.40740740740740744
9,amazon,0.08345438539981842,0.7489838600158691,0.6276041666666667
9,webcam,0.022659944370388985,0.736721396446228,0.6724137931034483
9,dslr,0.24467554688453674,1.1218775510787964,0.3064516129032258
10,caltech,0.2301480770111084,0.8372623324394226,0.3866666666666667
10,amazon,0.10105030238628387,0.7447314262390137,0.6302083333333333
10,webcam,0.01803682930767536,0.7106276750564575,0.6896551724137931
10,dslr,0.24525713920593262,1.1053541898727417,0.3064516129032258
11,caltech,0.26287907361984253,0.802736759185791,0.38222222222222224
11,amazon,0.09718335419893265,0.741310715675354,0.6432291666666667
11,webcam,0.025698674842715263,0.7197028994560242,0.7241379310344828
11,dslr,0.2296648919582367,1.0954511165618896,0.3629032258064516
12,caltech,0.2742660939693451,0.8003169894218445,0.38518518518518513
12,amazon,0.0887184664607048,0.7419681549072266,0.6380208333333333
12,webcam,0.020054254680871964,0.6931818127632141,0.6896551724137931
12,dslr,0.2586347460746765,1.1097168922424316,0.29838709677419356
13,caltech,0.20502907037734985,0.8137004375457764,0.38222222222222224
13,amazon,0.10117657482624054,0.7323933243751526,0.65625
13,webcam,0.025984663516283035,0.6814364194869995,0.6896551724137931
13,dslr,0.21380794048309326,1.126577615737915,0.34677419354838707
14,caltech,0.1900896281003952,0.8345972299575806,0.3837037037037037
14,amazon,0.1081005334854126,0.7336952090263367,0.6484375
14,webcam,0.01923995651304722,0.6843012571334839,0.6551724137931034
14,dslr,0.15779387950897217,1.1244075298309326,0.33064516129032256
15,caltech,0.18049031496047974,0.8317277431488037,0.38222222222222224
15,amazon,0.10944383591413498,0.7284318208694458,0.6380208333333333
15,webcam,0.025688067078590393,0.677406370639801,0.7068965517241379
15,dslr,0.1587514728307724,1.082249402999878,0.3709677419354839
16,caltech,0.18114237487316132,0.8306182622909546,0.37925925925925924
16,amazon,0.0973365306854248,0.7275418043136597,0.6354166666666667
16,webcam,0.020842868834733963,0.6721361875534058,0.6724137931034483
16,dslr,0.22039330005645752,1.0775744915008545,0.36290322580645157
17,caltech,0.18568138778209686,0.821685791015625,0.3733333333333333
17,amazon,0.18824006617069244,0.7049951553344727,0.6354166666666666
17,webcam,0.025250444188714027,0.6606910824775696,0.7068965517241379
17,dslr,0.24220244586467743,1.0543636083602905,0.3629032258064516
18,caltech,0.19053184986114502,0.8487401008605957,0.37925925925925924
18,amazon,0.11205154657363892,0.7374730706214905,0.6354166666666667
18,webcam,0.024802064523100853,0.6765357255935669,0.7068965517241379
18,dslr,0.2659294605255127,1.0733879804611206,0.3709677419354839
19,caltech,0.1944388449192047,0.8415309190750122,0.3837037037037037
19,amazon,0.2794196307659149,0.6808401346206665,0.6041666666666667
19,webcam,0.02466479502618313,0.6642292141914368,0.7068965517241379
19,dslr,0.2704780101776123,1.0717287063598633,0.3548387096774194
20,caltech,0.19119350612163544,0.8571562170982361,0.38222222222222224
20,amazon,0.13519494235515594,0.682679295539856,0.5963541666666666
20,webcam,0.0309608094394207,0.6826147437095642,0.7068965517241379
20,dslr,0.25654053688049316,1.1011556386947632,0.3548387096774194
21,caltech,0.21376197040081024,0.863846480846405,0.3837037037037037
21,amazon,0.08345133066177368,0.7008883953094482,0.6380208333333333
21,webcam,0.020405899733304977,0.6868339776992798,0.6724137931034483
21,dslr,0.2439565658569336,1.1295011043548584,0.3870967741935484
