round,domain,train_loss,kl_loss,acc
0,caltech,0,0,0.21777777777777776
0,amazon,0,0,0.41666666666666663
0,webcam,0,0,0.39655172413793105
0,dslr,0,0,0.2903225806451613
1,caltech,0,0,0.2637037037037037
1,amazon,0,0,0.5286458333333333
1,webcam,0,0,0.5517241379310345
1,dslr,0,0,0.1693548387096774
2,caltech,0,0,0.30962962962962964
2,amazon,0,0,0.5963541666666667
2,webcam,0,0,0.6724137931034483
2,dslr,0,0,0.21774193548387097
3,caltech,0,0,0.3688888888888889
3,amazon,0,0,0.6197916666666666
3,webcam,0,0,0.7413793103448276
3,dslr,0,0,0.20161290322580644
4,caltech,0,0,0.3688888888888889
4,amazon,0,0,0.5755208333333334
4,webcam,0,0,0.6206896551724138
4,dslr,0,0,0.3548387096774193
5,caltech,0,0,0.3688888888888889
5,amazon,0,0,0.6328125
5,webcam,0,0,0.7586206896551724
5,dslr,0,0,0.3629032258064516
6,caltech,0,0,0.3644444444444444
6,amazon,0,0,0.6119791666666666
6,webcam,0,0,0.7068965517241379
6,dslr,0,0,0.3467741935483871
7,caltech,0,0,0.35703703703703704
7,amazon,0,0,0.6536458333333334
7,webcam,0,0,0.7068965517241379
7,dslr,0,0,0.3548387096774194
8,caltech,0,0,0.3585185185185185
8,amazon,0,0,0.65625
8,webcam,0,0,0.7068965517241379
8,dslr,0,0,0.3709677419354839
9,caltech,0,0,0.37629629629629635
9,amazon,0,0,0.6796875
9,webcam,0,0,0.7068965517241379
9,dslr,0,0,0.3629032258064516
10,caltech,0,0,0.3940740740740741
10,amazon,0,0,0.6822916666666667
10,webcam,0,0,0.7586206896551724
10,dslr,0,0,0.3629032258064516
11,caltech,0,0,0.37333333333333335
11,amazon,0,0,0.6614583333333333
11,webcam,0,0,0.7068965517241379
11,dslr,0,0,0.3951612903225807
12,caltech,0,0,0.3688888888888889
12,amazon,0,0,0.6770833333333333
12,webcam,0,0,0.7241379310344828
12,dslr,0,0,0.4032258064516129
13,caltech,0,0,0.3733333333333333
13,amazon,0,0,0.6666666666666667
13,webcam,0,0,0.7413793103448276
13,dslr,0,0,0.3870967741935484
14,caltech,0,0,0.37333333333333335
14,amazon,0,0,0.65625
14,webcam,0,0,0.7413793103448276
14,dslr,0,0,0.3870967741935484
15,caltech,0,0,0.38814814814814813
15,amazon,0,0,0.6666666666666667
