round,domain,acc
4,webcam,0.6551724137931034
5,webcam,0.6724137931034483
6,webcam,0.7241379310344828
7,webcam,0.7758620689655172
8,webcam,0.7586206896551724
9,webcam,0.7413793103448276
10,webcam,0.7758620689655172
11,webcam,0.7413793103448276
12,webcam,0.7586206896551724
13,webcam,0.7758620689655172
14,webcam,0.7758620689655172
15,webcam,0.7758620689655172
16,webcam,0.7586206896551724
17,webcam,0.7413793103448276
18,webcam,0.7586206896551724
19,webcam,0.7586206896551724
20,webcam,0.7586206896551724
21,webcam,0.7586206896551724
22,webcam,0.7586206896551724
23,webcam,0.7586206896551724
24,webcam,0.7586206896551724
25,webcam,0.7586206896551724
26,webcam,0.7586206896551724
27,webcam,0.7413793103448276
28,webcam,0.7413793103448276
29,webcam,0.7413793103448276
30,webcam,0.7586206896551724
31,webcam,0.7586206896551724
32,webcam,0.7586206896551724
33,webcam,0.7586206896551724
34,webcam,0.7586206896551724
35,webcam,0.7586206896551724
36,webcam,0.7586206896551724
37,webcam,0.7586206896551724
38,webcam,0.7586206896551724
39,webcam,0.7586206896551724
40,webcam,0.7586206896551724
41,webcam,0.7586206896551724
42,webcam,0.7586206896551724
43,webcam,0.7586206896551724
44,webcam,0.7586206896551724
45,webcam,0.7586206896551724
46,webcam,0.7586206896551724
47,webcam,0.7586206896551724
48,webcam,0.7586206896551724
49,webcam,0.7586206896551724
50,webcam,0.7586206896551724
51,webcam,0.7586206896551724
52,webcam,0.7586206896551724
53,webcam,0.7586206896551724
54,webcam,0.7586206896551724
55,webcam,0.7586206896551724
56,webcam,0.7586206896551724
57,webcam,0.7586206896551724
58,webcam,0.7586206896551724
59,webcam,0.7586206896551724
60,webcam,0.7586206896551724
61,webcam,0.7586206896551724
62,webcam,0.7586206896551724
63,webcam,0.7586206896551724
64,webcam,0.7586206896551724
65,webcam,0.7586206896551724
66,webcam,0.7586206896551724
67,webcam,0.7586206896551724
68,webcam,0.7586206896551724
69,webcam,0.7586206896551724
70,webcam,0.7586206896551724
71,webcam,0.7586206896551724
72,webcam,0.7586206896551724
73,webcam,0.7586206896551724
74,webcam,0.7586206896551724
75,webcam,0.7586206896551724
76,webcam,0.7586206896551724
77,webcam,0.7586206896551724
78,webcam,0.7586206896551724
79,webcam,0.7586206896551724
80,webcam,0.7586206896551724
81,webcam,0.7586206896551724
82,webcam,0.7586206896551724
83,webcam,0.7586206896551724
84,webcam,0.7586206896551724
85,webcam,0.7586206896551724
86,webcam,0.7586206896551724
87,webcam,0.7586206896551724
88,webcam,0.7586206896551724
89,webcam,0.7586206896551724
90,webcam,0.7586206896551724
91,webcam,0.7586206896551724
92,webcam,0.7586206896551724
93,webcam,0.7586206896551724
94,webcam,0.7586206896551724
95,webcam,0.7586206896551724
96,webcam,0.7586206896551724
97,webcam,0.7586206896551724
98,webcam,0.7586206896551724
99,webcam,0.7586206896551724
0,dslr,0.25806451612903225
1,dslr,0.1693548387096774
2,dslr,0.20161290322580644
3,dslr,0.3951612903225806
4,dslr,0.33870967741935487
5,dslr,0.31451612903225806
6,dslr,0.3870967741935484
7,dslr,0.41129032258064513
8,dslr,0.3709677419354839
9,dslr,0.41129032258064513
10,dslr,0.3387096774193548
11,dslr,0.3629032258064516
12,dslr,0.34677419354838707
13,dslr,0.29838709677419356
14,dslr,0.3467741935483871
15,dslr,0.3629032258064516
16,dslr,0.3548387096774193
17,dslr,0.3709677419354839
18,dslr,0.3548387096774193
19,dslr,0.3709677419354839
20,dslr,0.3548387096774194
21,dslr,0.3790322580645161
