round,domain,gamma_dist,beta_dist
22,caltech,1.7713260604068637e-05,0.0019337856210768223
22,amazon,1.5950558008626103e-05,0.0013466768432408571
22,webcam,1.5663303202018142e-05,0.0013607428409159184
22,dslr,1.6896723536774516e-05,0.0019174630288034678
23,caltech,1.887441612780094e-05,0.002050249371677637
23,amazon,1.698348205536604e-05,0.0014285303186625242
23,webcam,1.6674515791237354e-05,0.001443379558622837
23,dslr,1.8003134755417705e-05,0.0020330322440713644
24,caltech,2.005399437621236e-05,0.0021672495640814304
24,amazon,1.802999759092927e-05,0.0015108227962628007
24,webcam,1.7698417650535703e-05,0.001526454696431756
24,dslr,1.912479638122022e-05,0.0021491553634405136
25,caltech,2.1249463316053152e-05,0.002284635789692402
25,amazon,1.9088416593149304e-05,0.0015935091068968177
25,webcam,1.8736522179096937e-05,0.0016098914202302694
25,dslr,2.026328002102673e-05,0.002265714341774583
26,caltech,2.2460881154984236e-05,0.0024022588040679693
26,amazon,2.016001963056624e-05,0.0016765596810728312
26,webcam,1.9786471966654062e-05,0.0016936257015913725
26,dslr,2.1418090909719467e-05,0.0023825974203646183
27,caltech,2.3687636712566018e-05,0.0025200715754181147
27,amazon,2.124323509633541e-05,0.0017598903505131602
27,webcam,2.084719017148018e-05,0.0017776064341887832
27,dslr,2.258692984469235e-05,0.0024997242726385593
28,caltech,2.4928158381953835e-05,0.0026379385963082314
28,amazon,2.233815030194819e-05,0.0018433935474604368
28,webcam,2.1918764105066657e-05,0.0018617191817611456
28,dslr,2.3771164705976844e-05,0.00261696707457304
29,caltech,2.618215512484312e-05,0.002755759982392192
29,amazon,2.3444561520591378e-05,0.0019270426128059626
29,webcam,2.30009900406003e-05,0.0019459121394902468
29,dslr,2.4969573132693768e-05,0.0027342508547008038
30,caltech,2.7448026230558753e-05,0.0028734407387673855
30,amazon,2.4560809833928943e-05,0.0020108502358198166
30,webcam,2.4093897081911564e-05,0.0020301539916545153
30,dslr,2.618224243633449e-05,0.0028515243902802467
31,caltech,2.8727779863402247e-05,0.002991017187014222
