round,domain,acc
0,caltech,0.18814814814814818
1,caltech,0.2992592592592593
2,caltech,0.34074074074074073
3,caltech,0.3688888888888889
4,caltech,0.33185185185185184
5,caltech,0.34074074074074073
6,caltech,0.36148148148148146
7,caltech,0.3955555555555556
8,caltech,0.3674074074074074
9,caltech,0.3703703703703704
10,caltech,0.3762962962962963
11,caltech,0.362962962962963
12,caltech,0.36592592592592593
13,caltech,0.35703703703703704
14,caltech,0.3688888888888889
15,caltech,0.3718518518518519
16,caltech,0.36592592592592593
17,caltech,0.3762962962962963
18,caltech,0.37481481481481477
19,caltech,0.3762962962962963
20,caltech,0.3762962962962963
21,caltech,0.37481481481481477
22,caltech,0.3718518518518518
23,caltech,0.3718518518518518
24,caltech,0.3718518518518518
25,caltech,0.3688888888888889
26,caltech,0.3688888888888889
27,caltech,0.3674074074074074
28,caltech,0.3688888888888889
29,caltech,0.3688888888888889
30,caltech,0.3688888888888889
31,caltech,0.3703703703703704
32,caltech,0.3703703703703704
33,caltech,0.3688888888888889
34,caltech,0.3703703703703704
35,caltech,0.3688888888888889
36,caltech,0.3674074074074074
37,caltech,0.3674074074074074
38,caltech,0.3674074074074074
39,caltech,0.3674074074074074
40,caltech,0.3674074074074074
41,caltech,0.3674074074074074
42,caltech,0.36592592592592593
43,caltech,0.3644444444444444
44,caltech,0.3644444444444444
45,caltech,0.3644444444444444
46,caltech,0.3644444444444444
47,caltech,0.3644444444444444
48,caltech,0.36296296296296293
49,caltech,0.36296296296296293
50,caltech,0.36296296296296293
51,caltech,0.36296296296296293
52,caltech,0.3644444444444444
53,caltech,0.36296296296296293
54,caltech,0.362962962962963
55,caltech,0.362962962962963
56,caltech,0.3644444444444444
57,caltech,0.362962962962963
58,caltech,0.362962962962963
59,caltech,0.362962962962963
60,caltech,0.36148148148148146
61,caltech,0.362962962962963
62,caltech,0.3614814814814815
63,caltech,0.3614814814814815
64,caltech,0.3614814814814815
65,caltech,0.3614814814814815
66,caltech,0.3614814814814815
67,caltech,0.3614814814814815
68,caltech,0.3614814814814815
69,caltech,0.3614814814814815
70,caltech,0.3614814814814815
71,caltech,0.3614814814814815
72,caltech,0.3614814814814815
73,caltech,0.3614814814814815
74,caltech,0.3614814814814815
75,caltech,0.362962962962963
76,caltech,0.3614814814814815
77,caltech,0.3614814814814815
78,caltech,0.3614814814814815
79,caltech,0.3614814814814815
80,caltech,0.3614814814814815
81,caltech,0.362962962962963
82,caltech,0.3644444444444444
83,caltech,0.362962962962963
84,caltech,0.3614814814814815
85,caltech,0.3614814814814815
86,caltech,0.36000000000000004
87,caltech,0.36000000000000004
88,caltech,0.36000000000000004
89,caltech,0.3614814814814815
90,caltech,0.3614814814814815
91,caltech,0.3614814814814815
92,caltech,0.36296296296296293
93,caltech,0.3614814814814815
94,caltech,0.36296296296296293
95,caltech,0.3614814814814815
96,caltech,0.36296296296296293
97,caltech,0.3614814814814815
98,caltech,0.36296296296296293
99,caltech,0.3614814814814815
0,amazon,0.40104166666666663
1,amazon,0.5234375
2,amazon,0.5833333333333333
3,amazon,0.5911458333333333
4,amazon,0.6276041666666667
5,amazon,0.6145833333333334
6,amazon,0.59375
7,amazon,0.6197916666666667
8,amazon,0.6458333333333333
9,amazon,0.6640625
10,amazon,0.6380208333333333
11,amazon,0.6380208333333333
12,amazon,0.6354166666666667
13,amazon,0.6380208333333333
14,amazon,0.640625
15,amazon,0.6354166666666666
16,amazon,0.640625
17,amazon,0.6354166666666667
18,amazon,0.6380208333333333
19,amazon,0.6354166666666667
20,amazon,0.6328125
21,amazon,0.6354166666666667
22,amazon,0.6276041666666667
23,amazon,0.6276041666666667
24,amazon,0.6276041666666667
25,amazon,0.6276041666666667
26,amazon,0.6276041666666667
27,amazon,0.6328125
28,amazon,0.6328125
29,amazon,0.6328125
30,amazon,0.6354166666666667
31,amazon,0.6354166666666667
32,amazon,0.6328125
33,amazon,0.6328125
34,amazon,0.6276041666666666
35,amazon,0.6276041666666666
36,amazon,0.6276041666666666
37,amazon,0.6276041666666666
38,amazon,0.6276041666666666
39,amazon,0.6276041666666666
40,amazon,0.6276041666666666
41,amazon,0.6276041666666666
42,amazon,0.6276041666666666
43,amazon,0.6276041666666666
44,amazon,0.6276041666666666
45,amazon,0.625
46,amazon,0.625
47,amazon,0.625
48,amazon,0.625
49,amazon,0.625
50,amazon,0.625
51,amazon,0.625
52,amazon,0.625
53,amazon,0.625
54,amazon,0.625
55,amazon,0.6276041666666667
56,amazon,0.6276041666666667
57,amazon,0.6276041666666667
58,amazon,0.6302083333333333
59,amazon,0.6302083333333333
60,amazon,0.6302083333333333
61,amazon,0.6302083333333333
62,amazon,0.6302083333333333
63,amazon,0.6302083333333333
64,amazon,0.6302083333333333
65,amazon,0.6302083333333333
66,amazon,0.6302083333333333
67,amazon,0.6276041666666667
68,amazon,0.6276041666666667
69,amazon,0.6276041666666667
70,amazon,0.6276041666666667
71,amazon,0.6276041666666667
72,amazon,0.6276041666666667
73,amazon,0.6276041666666667
74,amazon,0.6276041666666667
75,amazon,0.6276041666666667
76,amazon,0.6276041666666667
77,amazon,0.6276041666666667
78,amazon,0.6276041666666667
79,amazon,0.6276041666666667
80,amazon,0.6276041666666667
81,amazon,0.6276041666666667
82,amazon,0.6276041666666667
83,amazon,0.6276041666666667
84,amazon,0.6276041666666667
85,amazon,0.6276041666666667
86,amazon,0.6276041666666667
87,amazon,0.6276041666666667
88,amazon,0.6276041666666667
89,amazon,0.6302083333333334
90,amazon,0.6302083333333334
91,amazon,0.6302083333333334
92,amazon,0.6276041666666667
93,amazon,0.6276041666666667
94,amazon,0.6276041666666666
95,amazon,0.6302083333333333
96,amazon,0.6302083333333333
97,amazon,0.6302083333333333
98,amazon,0.6302083333333333
99,amazon,0.6302083333333333
0,webcam,0.41379310344827586
1,webcam,0.5862068965517241
2,webcam,0.5517241379310345
3,webcam,0.7413793103448276
4,webcam,0.6551724137931034
5,webcam,0.7068965517241379
6,webcam,0.6724137931034483
7,webcam,0.6896551724137931
8,webcam,0.7068965517241379
9,webcam,0.7241379310344828
10,webcam,0.7068965517241379
11,webcam,0.7241379310344828
12,webcam,0.7068965517241379
13,webcam,0.7413793103448276
14,webcam,0.7413793103448276
15,webcam,0.7413793103448276
16,webcam,0.7068965517241379
17,webcam,0.6896551724137931
18,webcam,0.6896551724137931
19,webcam,0.6896551724137931
20,webcam,0.6896551724137931
21,webcam,0.6896551724137931
22,webcam,0.6896551724137931
23,webcam,0.6896551724137931
24,webcam,0.6896551724137931
25,webcam,0.6896551724137931
26,webcam,0.6896551724137931
27,webcam,0.6896551724137931
28,webcam,0.6896551724137931
29,webcam,0.6896551724137931
30,webcam,0.6896551724137931
31,webcam,0.6896551724137931
