round,domain,gamma_dist,beta_dist
13,webcam,7.0658279582858086e-06,9.73840201368148e-07
13,dslr,7.065129466354847e-06,5.541587597690523e-07
14,caltech,7.896655006334186e-06,3.459681920503499e-06
14,amazon,7.870636181905866e-06,1.723122068142402e-06
14,webcam,7.859576726332307e-06,1.0987955647578929e-06
14,dslr,7.858441676944494e-06,6.264352805374074e-07
15,caltech,8.717644959688187e-06,3.87834415960242e-06
15,amazon,8.68714414536953e-06,2.004353063966846e-06
15,webcam,8.674658602103591e-06,1.2304087704251288e-06
15,dslr,8.673348929733038e-06,7.018006158432399e-07
16,caltech,9.557348676025867e-06,4.314928901294479e-06
16,amazon,9.522889740765095e-06,2.3061611500452273e-06
16,webcam,9.507260983809829e-06,1.368412199553859e-06
16,dslr,9.50662069953978e-06,7.800293815307668e-07
17,caltech,1.0414427379146218e-05,4.7701919356768485e-06
17,amazon,1.0374962585046887e-05,2.628265065141022e-06
17,webcam,1.0356685379520059e-05,1.5124057881621411e-06
17,dslr,1.0356103302910924e-05,8.610523991592345e-07
18,caltech,1.1286174412816763e-05,5.242829502094537e-06
18,amazon,1.1241936590522528e-05,2.9704633561777882e-06
18,webcam,1.1221272870898247e-05,1.6622343537164852e-06
18,dslr,1.1221098247915506e-05,9.446958983971854e-07
19,caltech,1.2171629350632429e-05,5.731963938160334e-06
19,amazon,1.212296774610877e-05,3.332232154207304e-06
19,webcam,1.209997572004795e-05,1.8180202232542797e-06
19,dslr,1.2100033927708864e-05,1.0308813216397539e-06
20,caltech,1.307032653130591e-05,6.237661636987468e-06
20,amazon,1.3015902368351817e-05,3.7138934203539975e-06
20,webcam,1.2990611139684916e-05,1.9794670151895843e-06
20,dslr,1.2990407412871718e-05,1.1194088074262254e-06
21,caltech,1.3979733921587467e-05,6.75908631819766e-06
21,amazon,1.392010017298162e-05,4.115062438359018e-06
21,webcam,1.3892073184251785e-05,2.1462146833073348e-06
21,dslr,1.3891694834455848e-05,1.2102290156690287e-06
22,caltech,1.4899007510393858e-05,7.29571002011653e-06
22,amazon,1.4834076864644885e-05,4.536020696832566e-06
22,webcam,1.480284845456481e-05,2.318260385436588e-06
22,dslr,1.4802557416260242e-05,1.3032433798798593e-06
23,caltech,1.582683762535453e-05,7.848717359593138e-06
23,amazon,1.575751230120659e-05,4.976198397343978e-06
23,webcam,1.5722587704658508e-05,2.4958778794825776e-06
23,dslr,1.572267501614988e-05,1.3983925555294263e-06
24,caltech,1.6763806343078613e-05,8.416378477704711e-06
24,amazon,1.6689038602635264e-05,5.435928869701456e-06
24,webcam,1.6651494661346078e-05,2.6787261049321387e-06
24,dslr,1.6651349142193794e-05,1.4957515759306261e-06
25,caltech,1.7708458472043276e-05,8.998000339488499e-06
25,amazon,1.7627404304221272e-05,5.91556636209134e-06
25,webcam,1.7587008187547326e-05,2.8666677280853037e-06
25,dslr,1.758750295266509e-05,1.5952575722621987e-06
26,caltech,1.865951344370842e-05,9.595028132025618e-06
26,amazon,1.8572609405964613e-05,6.414908511942485e-06
26,webcam,1.852933201007545e-05,3.0594801501138136e-06
26,dslr,1.8529477529227734e-05,1.6966864677669946e-06
27,caltech,1.961647649295628e-05,1.0206804290646687e-05
27,amazon,1.952445018105209e-05,6.933305030543124e-06
27,webcam,1.9477622117847204e-05,3.2572859254287323e-06
27,dslr,1.947756391018629e-05,1.800083168745914e-06
28,caltech,2.0578911062330008e-05,1.0834403838089202e-05
28,amazon,2.0481907995417714e-05,7.470512173313182e-06
28,webcam,2.0430947188287973e-05,3.4602730920596514e-06
28,dslr,2.0430830772966146e-05,1.9053450159844942e-06
29,caltech,2.1546060452237725e-05,1.1476480722194538e-05
