round,domain,gamma_dist,beta_dist
43,dslr,3.537279553711414e-05,0.000773068459238857
44,caltech,3.635365283116698e-05,0.0008441281970590353
44,amazon,3.63007711712271e-05,0.0008815624169073999
44,webcam,3.632009611465037e-05,0.0008935023797675967
44,dslr,3.636791370809078e-05,0.000794821185991168
45,caltech,3.734859637916088e-05,0.0008671463001519442
45,amazon,3.729257150553167e-05,0.0009054512483999133
45,webcam,3.731314791366458e-05,0.0009179298067465425
45,dslr,3.736367216333747e-05,0.0008165910840034485
46,caltech,3.834409289993346e-05,0.0008901695255190134
46,amazon,3.82850703317672e-05,0.000929341244045645
46,webcam,3.8306781789287925e-05,0.0009423693409189582
46,dslr,3.8359896279871464e-05,0.0008383759995922446
47,caltech,3.933996777050197e-05,0.0009131963015533984
47,amazon,3.927794750779867e-05,0.0009532308322377503
47,webcam,3.9300648495554924e-05,0.000966818886809051
47,dslr,3.9356673369184136e-05,0.0008601745357736945
48,caltech,4.033633740618825e-05,0.0009362252312712371
48,amazon,4.027102841064334e-05,0.0009771186159923673
48,webcam,4.029483534395695e-05,0.000991277163848281
48,dslr,4.0353828808292747e-05,0.0008819851791486144
49,caltech,4.133305628784001e-05,0.0009592549758963287
49,amazon,4.1264400351792574e-05,0.0010010034311562777
49,webcam,4.128928412683308e-05,0.0010157423093914986
49,dslr,4.1351275285705924e-05,0.0009038062999024987
50,caltech,4.233000800013542e-05,0.0009822844294831157
50,amazon,4.225785960443318e-05,0.0010248839389532804
50,webcam,4.2283994844183326e-05,0.0010402135085314512
50,dslr,4.2349041905254126e-05,0.0009256363846361637
51,caltech,4.332710523158312e-05,0.0010053126607090235
51,amazon,4.325143527239561e-05,0.0010487595573067665
51,webcam,4.32788219768554e-05,0.0010646891314536333
51,dslr,4.334715777076781e-05,0.0009474747348576784
52,caltech,4.432452260516584e-05,0.0010283386800438166
52,amazon,4.4245156459510326e-05,0.0010726293548941612
52,webcam,4.427373642101884e-05,0.0010891684796661139
52,dslr,4.43455355707556e-05,0.0009693201282061636
53,caltech,4.532202729023993e-05,0.0010513621382415295
53,amazon,4.523887764662504e-05,0.00109649240039289
53,webcam,4.526876728050411e-05,0.0011136505054309964
53,dslr,4.534411709755659e-05,0.0009911719243973494
54,caltech,4.6319590182974935e-05,0.001074381871148944
54,amazon,4.6232715249061584e-05,0.0011203484609723091
54,webcam,4.626382724381983e-05,0.00113813451025635
54,dslr,4.634272772818804e-05,0.0010130289010703564
55,caltech,4.731715307570994e-05,0.0010973976459354162
55,amazon,4.722661105915904e-05,0.0011441968381404877
55,webcam,4.725897451862693e-05,0.0011626195628196
55,dslr,4.73413965664804e-05,0.0010348905343562365
56,caltech,4.831477417610586e-05,0.0011204086476936936
56,amazon,4.822053597308695e-05,0.0011680370662361383
56,webcam,4.825426731258631e-05,0.0011871051974594593
56,dslr,4.8340094508603215e-05,0.0010567561257630587
57,caltech,4.931245348416269e-05,0.0011434147600084543
57,amazon,4.921440267935395e-05,0.0011918689124286175
57,webcam,4.9249472795054317e-05,0.0012115905992686749
57,dslr,4.933882155455649e-05,0.0010786248603835702
58,caltech,5.0310074584558606e-05,0.0011664156336337328
58,amazon,5.020818207412958e-05,0.001215691794641316
58,webcam,5.024453275837004e-05,0.001236075535416603
58,dslr,5.0337519496679306e-05,0.0011004968546330929
59,caltech,5.130766658112407e-05,0.001189410570077598
59,amazon,5.120187415741384e-05,0.0012395057128742337
59,webcam,5.12395054101944e-05,0.001260559307411313
59,dslr,5.133621743880212e-05,0.0011223710607737303
