round,domain,acc
24,webcam,0.8103448275862069
25,webcam,0.8103448275862069
26,webcam,0.7586206896551724
27,webcam,0.7931034482758621
28,webcam,0.7931034482758621
29,webcam,0.7931034482758621
30,webcam,0.7586206896551724
31,webcam,0.7931034482758621
32,webcam,0.7586206896551724
33,webcam,0.7931034482758621
34,webcam,0.8103448275862069
35,webcam,0.7758620689655172
36,webcam,0.7586206896551724
37,webcam,0.7586206896551724
38,webcam,0.7758620689655172
39,webcam,0.7931034482758621
40,webcam,0.7931034482758621
41,webcam,0.7931034482758621
42,webcam,0.7758620689655172
43,webcam,0.7241379310344828
44,webcam,0.7413793103448276
45,webcam,0.7241379310344828
46,webcam,0.7068965517241379
47,webcam,0.7586206896551724
48,webcam,0.7586206896551724
49,webcam,0.6724137931034483
50,webcam,0.7586206896551724
51,webcam,0.7241379310344828
52,webcam,0.7241379310344828
53,webcam,0.7586206896551724
54,webcam,0.7413793103448276
55,webcam,0.7586206896551724
56,webcam,0.7758620689655172
57,webcam,0.7241379310344828
58,webcam,0.7241379310344828
59,webcam,0.7413793103448276
60,webcam,0.7758620689655172
61,webcam,0.7413793103448276
62,webcam,0.7758620689655172
63,webcam,0.7241379310344828
64,webcam,0.7413793103448276
65,webcam,0.7758620689655172
66,webcam,0.7241379310344828
67,webcam,0.7758620689655172
68,webcam,0.7931034482758621
69,webcam,0.7758620689655172
70,webcam,0.7241379310344828
71,webcam,0.7413793103448276
72,webcam,0.7586206896551724
73,webcam,0.7413793103448276
74,webcam,0.7413793103448276
75,webcam,0.7413793103448276
76,webcam,0.7068965517241379
77,webcam,0.7758620689655172
78,webcam,0.6551724137931034
79,webcam,0.7241379310344828
80,webcam,0.7586206896551724
81,webcam,0.7068965517241379
82,webcam,0.7931034482758621
83,webcam,0.4482758620689655
84,webcam,0.6896551724137931
85,webcam,0.7586206896551724
86,webcam,0.7586206896551724
87,webcam,0.7241379310344828
88,webcam,0.7931034482758621
89,webcam,0.7758620689655172
90,webcam,0.7758620689655172
91,webcam,0.7931034482758621
92,webcam,0.7758620689655172
93,webcam,0.7413793103448276
94,webcam,0.7241379310344828
95,webcam,0.7241379310344828
96,webcam,0.7068965517241379
97,webcam,0.7758620689655172
98,webcam,0.6896551724137931
99,webcam,0.7413793103448276
0,dslr,0.25806451612903225
1,dslr,0.16129032258064516
2,dslr,0.20967741935483872
3,dslr,0.25
4,dslr,0.3145161290322581
5,dslr,0.3387096774193548
6,dslr,0.22580645161290322
7,dslr,0.2903225806451613
8,dslr,0.3225806451612903
9,dslr,0.29838709677419356
10,dslr,0.3064516129032258
11,dslr,0.27419354838709675
12,dslr,0.3225806451612903
13,dslr,0.2338709677419355
14,dslr,0.29838709677419356
15,dslr,0.33870967741935487
16,dslr,0.36290322580645157
17,dslr,0.3225806451612903
18,dslr,0.29838709677419356
19,dslr,0.29032258064516125
20,dslr,0.3387096774193548
21,dslr,0.3387096774193548
22,dslr,0.29838709677419356
23,dslr,0.33064516129032256
24,dslr,0.3225806451612903
25,dslr,0.31451612903225806
26,dslr,0.2903225806451613
27,dslr,0.29838709677419356
28,dslr,0.282258064516129
29,dslr,0.25806451612903225
30,dslr,0.282258064516129
31,dslr,0.3064516129032258
32,dslr,0.3064516129032258
33,dslr,0.33870967741935487
34,dslr,0.3387096774193548
35,dslr,0.3387096774193548
36,dslr,0.3064516129032258
37,dslr,0.2983870967741935
38,dslr,0.24193548387096775
39,dslr,0.24193548387096775
40,dslr,0.27419354838709675
41,dslr,0.24193548387096775
42,dslr,0.2903225806451613
43,dslr,0.28225806451612906
44,dslr,0.2983870967741935
45,dslr,0.29032258064516125
46,dslr,0.3225806451612903
47,dslr,0.33064516129032256
48,dslr,0.2661290322580645
49,dslr,0.29838709677419356
50,dslr,0.31451612903225806
51,dslr,0.282258064516129
52,dslr,0.2903225806451613
53,dslr,0.3064516129032258
54,dslr,0.27419354838709675
55,dslr,0.27419354838709675
56,dslr,0.3467741935483871
57,dslr,0.3387096774193548
58,dslr,0.34677419354838707
59,dslr,0.3225806451612903
60,dslr,0.3387096774193548
61,dslr,0.2983870967741935
62,dslr,0.282258064516129
63,dslr,0.27419354838709675
64,dslr,0.2983870967741935
65,dslr,0.3064516129032258
66,dslr,0.2983870967741935
67,dslr,0.2903225806451613
68,dslr,0.3064516129032258
69,dslr,0.29838709677419356
70,dslr,0.2661290322580645
71,dslr,0.2661290322580645
72,dslr,0.2661290322580645
73,dslr,0.3225806451612903
74,dslr,0.3064516129032258
75,dslr,0.29032258064516125
76,dslr,0.31451612903225806
77,dslr,0.30645161290322576
78,dslr,0.282258064516129
79,dslr,0.2661290322580645
80,dslr,0.3064516129032258
81,dslr,0.33064516129032256
82,dslr,0.3387096774193548
83,dslr,0.31451612903225806
84,dslr,0.3467741935483871
85,dslr,0.3629032258064516
86,dslr,0.3548387096774194
87,dslr,0.31451612903225806
88,dslr,0.282258064516129
89,dslr,0.282258064516129
90,dslr,0.31451612903225806
91,dslr,0.3064516129032258
92,dslr,0.3064516129032258
93,dslr,0.29838709677419356
94,dslr,0.33064516129032256
95,dslr,0.31451612903225806
96,dslr,0.3225806451612903
97,dslr,0.3467741935483871
98,dslr,0.31451612903225806
99,dslr,0.2903225806451613
