round,domain,acc
0,caltech,0.18814814814814818
1,caltech,0.2740740740740741
2,caltech,0.34074074074074073
3,caltech,0.3496296296296297
4,caltech,0.3585185185185185
5,caltech,0.38074074074074077
6,caltech,0.38814814814814813
7,caltech,0.39111111111111113
8,caltech,0.3762962962962963
9,caltech,0.3437037037037037
10,caltech,0.37925925925925924
11,caltech,0.38518518518518513
12,caltech,0.39111111111111113
13,caltech,0.37777777777777777
14,caltech,0.3674074074074074
15,caltech,0.36000000000000004
16,caltech,0.3688888888888889
17,caltech,0.35851851851851846
18,caltech,0.36148148148148146
19,caltech,0.3688888888888889
20,caltech,0.3718518518518519
21,caltech,0.36296296296296293
22,caltech,0.36592592592592593
23,caltech,0.3674074074074074
24,caltech,0.3674074074074074
25,caltech,0.3688888888888889
26,caltech,0.3674074074074074
27,caltech,0.3674074074074074
28,caltech,0.3674074074074074
29,caltech,0.3674074074074074
30,caltech,0.3688888888888889
31,caltech,0.3718518518518519
32,caltech,0.3718518518518519
33,caltech,0.3718518518518519
34,caltech,0.3718518518518519
35,caltech,0.3718518518518519
36,caltech,0.3718518518518519
37,caltech,0.3718518518518519
38,caltech,0.3718518518518519
39,caltech,0.37333333333333335
40,caltech,0.37333333333333335
41,caltech,0.37333333333333335
42,caltech,0.37333333333333335
43,caltech,0.3718518518518519
44,caltech,0.3718518518518519
45,caltech,0.3718518518518519
46,caltech,0.3718518518518519
47,caltech,0.3718518518518519
48,caltech,0.3718518518518519
49,caltech,0.3718518518518519
50,caltech,0.3718518518518519
51,caltech,0.3718518518518519
52,caltech,0.3718518518518519
53,caltech,0.3718518518518519
54,caltech,0.3718518518518519
55,caltech,0.37333333333333335
56,caltech,0.3718518518518519
57,caltech,0.3718518518518519
58,caltech,0.3703703703703704
59,caltech,0.3703703703703704
60,caltech,0.36592592592592593
61,caltech,0.3674074074074074
62,caltech,0.3674074074074074
63,caltech,0.3674074074074074
64,caltech,0.3644444444444444
65,caltech,0.36592592592592593
66,caltech,0.3644444444444444
67,caltech,0.36592592592592593
68,caltech,0.36592592592592593
69,caltech,0.36592592592592593
70,caltech,0.36592592592592593
71,caltech,0.36592592592592593
72,caltech,0.36592592592592593
73,caltech,0.3674074074074074
74,caltech,0.3644444444444444
75,caltech,0.3644444444444444
76,caltech,0.3644444444444444
77,caltech,0.36296296296296293
78,caltech,0.3644444444444444
79,caltech,0.36592592592592593
80,caltech,0.3644444444444444
81,caltech,0.36592592592592593
82,caltech,0.3644444444444444
83,caltech,0.36592592592592593
84,caltech,0.3644444444444444
85,caltech,0.3674074074074074
86,caltech,0.36592592592592593
87,caltech,0.3674074074074074
88,caltech,0.36592592592592593
89,caltech,0.36592592592592593
90,caltech,0.36592592592592593
91,caltech,0.36592592592592593
92,caltech,0.3644444444444444
93,caltech,0.36592592592592593
94,caltech,0.36592592592592593
95,caltech,0.36592592592592593
96,caltech,0.36592592592592593
97,caltech,0.36592592592592593
98,caltech,0.36592592592592593
99,caltech,0.36592592592592593
0,amazon,0.40104166666666663
1,amazon,0.5364583333333333
2,amazon,0.5572916666666666
3,amazon,0.5885416666666666
4,amazon,0.5989583333333333
5,amazon,0.6458333333333333
6,amazon,0.6458333333333334
7,amazon,0.6067708333333334
8,amazon,0.6432291666666667
9,amazon,0.6458333333333333
10,amazon,0.640625
11,amazon,0.640625
12,amazon,0.6354166666666667
13,amazon,0.6432291666666667
14,amazon,0.6484375
15,amazon,0.6432291666666667
16,amazon,0.6458333333333333
17,amazon,0.6432291666666667
18,amazon,0.6354166666666667
19,amazon,0.6380208333333334
20,amazon,0.625
21,amazon,0.625
22,amazon,0.6276041666666666
23,amazon,0.6276041666666666
24,amazon,0.6276041666666666
25,amazon,0.6276041666666666
26,amazon,0.6276041666666666
27,amazon,0.6276041666666666
28,amazon,0.6276041666666666
29,amazon,0.6302083333333333
30,amazon,0.6328125
31,amazon,0.6328125
32,amazon,0.6328125
33,amazon,0.6328125
34,amazon,0.6328125
35,amazon,0.6328125
36,amazon,0.6328125
37,amazon,0.6354166666666666
38,amazon,0.6354166666666666
39,amazon,0.6354166666666666
40,amazon,0.6354166666666667
41,amazon,0.6380208333333334
42,amazon,0.640625
43,amazon,0.6380208333333334
44,amazon,0.6380208333333334
45,amazon,0.6380208333333334
46,amazon,0.6380208333333334
47,amazon,0.6380208333333334
48,amazon,0.6380208333333334
49,amazon,0.6380208333333334
50,amazon,0.6380208333333334
51,amazon,0.6380208333333334
52,amazon,0.6380208333333334
53,amazon,0.640625
54,amazon,0.640625
55,amazon,0.6380208333333334
56,amazon,0.6380208333333334
57,amazon,0.640625
58,amazon,0.6432291666666667
59,amazon,0.6432291666666667
60,amazon,0.6432291666666667
61,amazon,0.6432291666666667
62,amazon,0.6432291666666667
63,amazon,0.6432291666666667
64,amazon,0.6432291666666667
65,amazon,0.6432291666666667
66,amazon,0.6432291666666667
67,amazon,0.6432291666666667
68,amazon,0.6432291666666667
69,amazon,0.640625
70,amazon,0.6432291666666667
71,amazon,0.6432291666666667
72,amazon,0.6432291666666667
73,amazon,0.6458333333333334
74,amazon,0.6458333333333334
75,amazon,0.6458333333333334
76,amazon,0.6458333333333334
77,amazon,0.6458333333333334
78,amazon,0.6458333333333334
79,amazon,0.6458333333333334
80,amazon,0.6458333333333334
81,amazon,0.6458333333333334
82,amazon,0.6458333333333334
83,amazon,0.6458333333333334
84,amazon,0.6458333333333334
85,amazon,0.6458333333333334
86,amazon,0.6458333333333334
87,amazon,0.6458333333333334
88,amazon,0.640625
89,amazon,0.640625
90,amazon,0.640625
91,amazon,0.640625
92,amazon,0.6380208333333333
93,amazon,0.6380208333333333
94,amazon,0.6380208333333333
95,amazon,0.6380208333333333
96,amazon,0.6380208333333333
97,amazon,0.6380208333333333
98,amazon,0.6380208333333333
99,amazon,0.6380208333333333
0,webcam,0.41379310344827586
1,webcam,0.6551724137931034
2,webcam,0.5344827586206896
3,webcam,0.6551724137931034
4,webcam,0.6896551724137931
5,webcam,0.7586206896551724
6,webcam,0.6896551724137931
7,webcam,0.7413793103448276
8,webcam,0.7586206896551724
