round,domain,gamma_dist,beta_dist
9,webcam,4.287372576072812e-06,0.0003891226660925895
9,dslr,4.594970960170031e-06,0.000551308155991137
10,caltech,5.631620297208428e-06,0.0006550712860189378
10,amazon,5.051580956205726e-06,0.0004416830779518932
10,webcam,5.004287231713533e-06,0.00045351608423516154
10,dslr,5.367357516661286e-06,0.0006424784078262746
11,caltech,6.485264748334885e-06,0.000752369174733758
11,amazon,5.8130244724452496e-06,0.0005070196348242462
11,webcam,5.757319740951061e-06,0.0005207909271121025
11,dslr,6.178335752338171e-06,0.0007377017172984779
12,caltech,7.374881533905864e-06,0.0008533680229447782
12,amazon,6.60755904391408e-06,0.0005748297553509474
12,webcam,6.541842594742775e-06,0.0005906267324462533
12,dslr,7.025082595646381e-06,0.0008365285466425121
13,caltech,8.300645276904106e-06,0.0009576729498803616
13,amazon,7.431284757331014e-06,0.0006448377971537411
13,webcam,7.35584762878716e-06,0.000662746955640614
13,dslr,7.904425729066133e-06,0.0009385660523548722
14,caltech,9.256997145712376e-06,0.0010648947209119797
14,amazon,8.282600902020931e-06,0.0007168060401454568
14,webcam,8.197093848139048e-06,0.0007368915248662233
14,dslr,8.813687600195408e-06,0.0010434477590024471
15,caltech,1.0243616998195648e-05,0.0011746943928301334
15,amazon,9.158975444734097e-06,0.0007905183592811227
15,webcam,9.06351488083601e-06,0.0008128314511850476
15,dslr,9.752518963068724e-06,0.0011508484603837132
16,caltech,1.1257710866630077e-05,0.0012867574114352465
16,amazon,1.0058778570964932e-05,0.0008657813887111843
16,webcam,9.952374966815114e-06,0.0008903569541871548
16,dslr,1.07175437733531e-05,0.001260470598936081
17,caltech,1.2297066859900951e-05,0.0014008060097694397
17,amazon,1.097976928576827e-05,0.0009424177696928382
17,webcam,1.0862131603062153e-05,0.0009692807216197252
17,dslr,1.1708063539117575e-05,0.001372047932818532
18,caltech,1.3360462617129087e-05,0.0015165820950642228
18,amazon,1.1920405086129904e-05,0.001020269002765417
18,webcam,1.179141690954566e-05,0.0010494319722056389
18,dslr,1.2721779057756066e-05,0.001485336571931839
19,caltech,1.4446210116147995e-05,0.0016338556306436658
19,amazon,1.287998748011887e-05,0.001099191140383482
19,webcam,1.2739183148369193e-05,0.0011306573869660497
19,dslr,1.3757904525846243e-05,0.0016001167241483927
20,caltech,1.5554454876109958e-05,0.0017524183494970202
20,amazon,1.3857090380042791e-05,0.0011790529824793339
20,webcam,1.3704149750992656e-05,0.001212818082422018
20,dslr,1.4814489986747503e-05,0.0017161892028525472
21,caltech,1.6683683497831225e-05,0.0018720851512625813
21,amazon,1.4849327271804214e-05,0.0012597349705174565
21,webcam,1.4685007045045495e-05,0.0012957900762557983
21,dslr,1.589063322171569e-05,0.0018333746120333672
22,caltech,1.783139305189252e-05,0.0019926875829696655
22,amazon,1.5856698155403137e-05,0.001341128838248551
22,webcam,1.5680998330935836e-05,0.0013794614933431149
22,dslr,1.6985723050311208e-05,0.0019515103194862604
23,caltech,1.899650669656694e-05,0.002114074770361185
23,amazon,1.687824260443449e-05,0.0014231360983103514
23,webcam,1.669113407842815e-05,0.0014637311687693
23,dslr,1.8099730368703604e-05,0.002070449059829116
24,caltech,2.017882070504129e-05,0.0022361085284501314
24,amazon,1.79130001924932e-05,0.0015056676929816604
24,webcam,1.771366805769503e-05,0.0015485077165067196
24,dslr,1.9230879843235016e-05,0.0021900569554418325
25,caltech,2.137786941602826e-05,0.002358664758503437
25,amazon,1.896050525829196e-05,0.0015886422479525208
25,webcam,1.8749095033854246e-05,0.001633708830922842
25,dslr,2.0378269255161285e-05,0.0023102129343897104
26,caltech,2.2592954337596893e-05,0.002481629606336355
26,amazon,2.001941902562976e-05,0.0016719866544008255
26,webcam,1.9797153072431684e-05,0.0017192596569657326
26,dslr,2.1542393369600177e-05,0.002430806402117014
27,caltech,2.3823173251003027e-05,0.0026049003936350346
27,amazon,2.1089043002575636e-05,0.0017556339735165238
27,webcam,2.0857376512140036e-05,0.0018050927901640534
27,dslr,2.272147685289383e-05,0.002551737241446972
28,caltech,2.5068322429433465e-05,0.002728383056819439
28,amazon,2.2169231669977307e-05,0.0018395239021629095
28,webcam,2.1927611669525504e-05,0.0018911468796432018
28,dslr,2.3914763005450368e-05,0.0026729139499366283
29,caltech,2.632910036481917e-05,0.0028519914485514164
29,amazon,2.3259693989530206e-05,0.0019236014923080802
29,webcam,2.300846972502768e-05,0.0019773663952946663
29,dslr,2.5122746592387557e-05,0.002794253174215555
30,caltech,2.7603120543062687e-05,0.0029756473377346992
30,amazon,2.436025533825159e-05,0.002007816918194294
30,webcam,2.4098670110106468e-05,0.0020637009292840958
30,dslr,2.6345107471570373e-05,0.0029156794771552086
31,caltech,2.888991730287671e-05,0.0030992794781923294
31,amazon,2.5470595574006438e-05,0.002092124428600073
31,webcam,2.5198212824761868e-05,0.0021501050796359777
31,dslr,2.758082700893283e-05,0.0030371234752237797
32,caltech,3.018914139829576e-05,0.00322282244451344
32,amazon,2.6590190827846527e-05,0.0021764833945780993
32,webcam,2.6307156076654792e-05,0.002236537169665098
32,dslr,2.8829934308305383e-05,0.0031585218384861946
33,caltech,3.150253905914724e-05,0.0033462168648838997
33,amazon,2.7718342607840896e-05,0.0022608558647334576
33,webcam,2.742558717727661e-05,0.0023229592479765415
33,dslr,3.009254578500986e-05,0.003279817756265402
34,caltech,3.2828975236043334e-05,0.003469408256933093
34,amazon,2.8854497941210866e-05,0.002345208078622818
34,webcam,2.855240018106997e-05,0.0024093380197882652
34,dslr,3.136848681606352e-05,0.0034009581431746483
35,caltech,3.416743129491806e-05,0.003592346329241991
35,amazon,2.9998976970091462e-05,0.0024295090697705746
35,webcam,2.9687362257391214e-05,0.002495642052963376
35,dslr,3.265647683292627e-05,0.003521895268931985
36,caltech,3.551866393536329e-05,0.003714985679835081
36,amazon,3.115102299489081e-05,0.0025137304328382015
36,webcam,3.083105548284948e-05,0.0025818434078246355
36,dslr,3.3955933758988976e-05,0.0036425853613764048
37,caltech,3.6882091080769897e-05,0.0038372850976884365
37,amazon,3.231040318496525e-05,0.002597846556454897
37,webcam,3.1981850042939186e-05,0.0026679164730012417
37,dslr,3.526892396621406e-05,0.0037629888392984867
38,caltech,3.825701423920691e-05,0.003959205932915211
38,amazon,3.3477466786280274e-05,0.002681833691895008
38,webcam,3.314076457172632e-05,0.002753837965428829
38,dslr,3.6594312405213714e-05,0.0038830686826258898
39,caltech,3.9643957279622555e-05,0.004080713260918856
39,amazon,3.465072950348258e-05,0.00276567111723125
39,webcam,3.430686774663627e-05,0.0028395866975188255
39,dslr,3.7930498365312815e-05,0.004002791363745928
40,caltech,4.104204708710313e-05,0.00420177448540926
40,amazon,3.5832461435347795e-05,0.002849338576197624
40,webcam,3.54804506059736e-05,0.0029251433443278074
40,dslr,3.928010119125247e-05,0.004122127313166857
41,caltech,4.245011950843036e-05,0.004322361666709185
41,amazon,3.702050889842212e-05,0.0029328190721571445
41,webcam,3.666194970719516e-05,0.003010490909218788
41,dslr,4.064053064212203e-05,0.004241047892719507
42,caltech,4.386872751638293e-05,0.004442446865141392
42,amazon,3.821574500761926e-05,0.0030160958413034678
42,webcam,3.78504628315568e-05,0.0030956128612160683
42,dslr,4.201248520985246e-05,0.004359527491033077
43,caltech,4.5298918848857284e-05,0.004562006331980228
43,amazon,3.941712202504277e-05,0.0030991537496447563
43,webcam,3.9045815356075764e-05,0.003180495463311672
43,dslr,4.339517909102142e-05,0.004477544222027063
44,caltech,4.674107185564935e-05,0.004681017249822617
44,amazon,4.0625513065606356e-05,0.0031819799914956093
44,webcam,4.024809459224343e-05,0.003265124512836337
44,dslr,4.478864138945937e-05,0.004595075733959675
45,caltech,4.819338209927082e-05,0.004799459129571915
45,amazon,4.184039426036179e-05,0.0032645612955093384
45,webcam,4.145692219026387e-05,0.003349488601088524
45,dslr,4.619400715455413e-05,0.004712103866040707
46,caltech,4.965515108779073e-05,0.004917314276099205
46,amazon,4.3061532778665423e-05,0.0033468864858150482
46,webcam,4.267223994247615e-05,0.0034335770178586245
46,dslr,4.761005402542651e-05,0.004828609526157379
47,caltech,5.112568032927811e-05,0.005034564528614283
47,amazon,4.4288288336247206e-05,0.003428945317864418
47,webcam,4.38945135101676e-05,0.003517379052937031
47,dslr,4.9036258133128285e-05,0.004944578278809786
48,caltech,5.260767647996545e-05,0.005151194520294666
48,amazon,4.5520515413954854e-05,0.0035107280127704144
48,webcam,4.5123102609068155e-05,0.0036008860915899277
48,dslr,5.0473230658099055e-05,0.005059994291514158
49,caltech,5.409907316789031e-05,0.0052671912126243114
49,amazon,4.675862146541476e-05,0.003592225955799222
49,webcam,4.635800723917782e-05,0.003684090217575431
49,dslr,5.1919458201155066e-05,0.005174844525754452
50,caltech,5.5600859923288226e-05,0.0053825415670871735
50,amazon,4.800246097147465e-05,0.003673430997878313
50,webcam,4.759914008900523e-05,0.003766983514651656
50,dslr,5.337459151633084e-05,0.005289117339998484
51,caltech,5.7111872592940927e-05,0.005497233010828495
51,amazon,4.9252324970439076e-05,0.0037543359212577343
51,webcam,4.884609370492399e-05,0.0038495592307299376
51,dslr,5.484034772962332e-05,0.005402802489697933
52,caltech,5.863138358108699e-05,0.005611255764961243
52,amazon,5.050803883932531e-05,0.0038349339738488197
52,webcam,5.0098722567781806e-05,0.003931811545044184
52,dslr,5.6316028349101543e-05,0.005515888798981905
53,caltech,6.015901453793049e-05,0.005724601447582245
53,amazon,5.176858394406736e-05,0.003915219102054834
53,webcam,5.13562117703259e-05,0.004013733938336372
53,dslr,5.779979983344674e-05,0.005628368351608515
54,caltech,6.169575499370694e-05,0.005837259814143181
54,amazon,5.303518264554441e-05,0.0039951857179403305
54,webcam,5.2619201596826315e-05,0.004095322452485561
54,dslr,5.929177859798074e-05,0.005740233696997166
55,caltech,6.324195419438183e-05,0.005949224811047316
55,amazon,5.4306728998199105e-05,0.004074828699231148
55,webcam,5.388780846260488e-05,0.00417657196521759
55,dslr,6.079464219510555e-05,0.005851476453244686
56,caltech,6.479601142928004e-05,0.0060604894533753395
56,amazon,5.558400880545378e-05,0.004154142923653126
56,webcam,5.5161508498713374e-05,0.0042574782855808735
56,dslr,6.230690632946789e-05,0.005962091498076916
57,caltech,6.63582468405366e-05,0.006171047687530518
57,amazon,5.686713848263025e-05,0.004233124200254679
57,webcam,5.644123302772641e-05,0.004338037222623825
57,dslr,6.382784340530634e-05,0.0060720727778971195
58,caltech,6.792918429709971e-05,0.006280895322561264
58,amazon,5.815524491481483e-05,0.004311768803745508
58,webcam,5.7727593230083585e-05,0.0044182464480400085
58,dslr,6.53570459689945e-05,0.006181416101753712
59,caltech,6.950862007215619e-05,0.006390026770532131
59,amazon,5.9448357205837965e-05,0.004390073008835316
59,webcam,5.902000702917576e-05,0.004498102702200413
59,dslr,6.689579458907247e-05,0.006290116347372532
60,caltech,7.10942258592695e-05,0.006498438306152821
60,amazon,6.074600969441235e-05,0.004468034021556377
60,webcam,6.0317106544971466e-05,0.0045776027254760265
60,dslr,6.844426388852298e-05,0.006398170255124569
61,caltech,7.268792251124978e-05,0.006606128066778183
61,amazon,6.204849341884255e-05,0.004545648116618395
61,webcam,6.161941564641893e-05,0.004656744655221701
61,dslr,7.000155164860189e-05,0.006505574099719524
62,caltech,7.428997196257114e-05,0.006713091395795345
62,amazon,6.33563322480768e-05,0.0046229129657149315
62,webcam,6.292641046456993e-05,0.004735525697469711
62,dslr,7.156628998927772e-05,0.006612326949834824
