round,domain,acc
68,caltech,0.3896296296296296
69,caltech,0.3896296296296296
70,caltech,0.3896296296296296
71,caltech,0.39111111111111113
72,caltech,0.39111111111111113
73,caltech,0.39111111111111113
74,caltech,0.39111111111111113
75,caltech,0.39111111111111113
76,caltech,0.39111111111111113
77,caltech,0.39111111111111113
78,caltech,0.39111111111111113
79,caltech,0.3925925925925926
80,caltech,0.3925925925925926
81,caltech,0.3925925925925926
82,caltech,0.3925925925925926
83,caltech,0.39111111111111113
84,caltech,0.3925925925925926
85,caltech,0.3925925925925926
86,caltech,0.3925925925925926
87,caltech,0.3925925925925926
88,caltech,0.3925925925925926
89,caltech,0.3925925925925926
90,caltech,0.3925925925925926
91,caltech,0.3925925925925926
92,caltech,0.3925925925925926
93,caltech,0.3925925925925926
94,caltech,0.3925925925925926
95,caltech,0.3925925925925926
96,caltech,0.3925925925925926
97,caltech,0.3925925925925926
98,caltech,0.3925925925925926
99,caltech,0.3940740740740741
0,amazon,0.40104166666666663
1,amazon,0.5260416666666666
2,amazon,0.5572916666666667
3,amazon,0.5520833333333334
4,amazon,0.5833333333333333
5,amazon,0.5911458333333333
6,amazon,0.5989583333333333
7,amazon,0.6119791666666667
8,amazon,0.6145833333333333
9,amazon,0.609375
10,amazon,0.6302083333333334
11,amazon,0.6302083333333333
12,amazon,0.6354166666666667
13,amazon,0.625
14,amazon,0.640625
15,amazon,0.6276041666666667
16,amazon,0.6328125
17,amazon,0.6380208333333333
18,amazon,0.6302083333333334
19,amazon,0.6354166666666667
20,amazon,0.6380208333333333
21,amazon,0.6328125
22,amazon,0.6328125
23,amazon,0.6380208333333333
24,amazon,0.6380208333333333
25,amazon,0.6380208333333333
26,amazon,0.6380208333333333
27,amazon,0.6380208333333333
28,amazon,0.6354166666666666
29,amazon,0.6354166666666666
30,amazon,0.6354166666666666
31,amazon,0.6302083333333334
32,amazon,0.6276041666666667
33,amazon,0.625
34,amazon,0.6223958333333333
35,amazon,0.6223958333333333
36,amazon,0.6223958333333333
37,amazon,0.6223958333333333
38,amazon,0.6223958333333333
39,amazon,0.6223958333333333
40,amazon,0.625
41,amazon,0.625
42,amazon,0.625
43,amazon,0.6223958333333334
44,amazon,0.6223958333333334
45,amazon,0.625
46,amazon,0.6276041666666667
47,amazon,0.625
48,amazon,0.625
49,amazon,0.625
50,amazon,0.625
51,amazon,0.625
52,amazon,0.625
53,amazon,0.625
54,amazon,0.625
55,amazon,0.6223958333333333
56,amazon,0.6223958333333333
57,amazon,0.6223958333333333
58,amazon,0.6223958333333333
59,amazon,0.625
60,amazon,0.625
61,amazon,0.625
62,amazon,0.625
63,amazon,0.625
64,amazon,0.625
65,amazon,0.625
66,amazon,0.6223958333333333
67,amazon,0.6223958333333333
68,amazon,0.6197916666666667
69,amazon,0.6197916666666667
70,amazon,0.6197916666666667
71,amazon,0.6197916666666667
72,amazon,0.6197916666666667
73,amazon,0.6197916666666667
74,amazon,0.6171875
75,amazon,0.6171875
76,amazon,0.6171875
77,amazon,0.6197916666666667
78,amazon,0.6171875
79,amazon,0.6223958333333334
80,amazon,0.6171875
81,amazon,0.6145833333333334
82,amazon,0.6145833333333334
83,amazon,0.6197916666666667
84,amazon,0.6171875
85,amazon,0.6171875
86,amazon,0.6197916666666667
87,amazon,0.6197916666666667
88,amazon,0.6197916666666667
89,amazon,0.6197916666666667
