round,domain,avg_weight_across_classes,n_classes,G_avg_norm
27,dslr,0.23631131052970886,10,0.9830406785011292
28,caltech,0.19040113911032677,10,0.9828144609928131
28,amazon,0.22686611041426658,10,0.9828144609928131
28,webcam,0.34742668867111204,10,0.9828144609928131
28,dslr,0.23530605882406236,10,0.9828144609928131
29,caltech,0.19036966785788537,10,0.9825858652591706
29,amazon,0.2301541432738304,10,0.9825858652591706
29,webcam,0.3459060251712799,10,0.9825858652591706
29,dslr,0.23357016146183013,10,0.9825858652591706
30,caltech,0.18870302140712739,10,0.9823586285114289
30,amazon,0.22877912148833274,10,0.9823586285114289
30,webcam,0.3485177710652351,10,0.9823586285114289
30,dslr,0.23400008231401442,10,0.9823586285114289
31,caltech,0.1900436483323574,10,0.9821302175521851
31,amazon,0.23249450623989104,10,0.9821302175521851
31,webcam,0.34440377205610273,10,0.9821302175521851
31,dslr,0.23305808901786804,10,0.9821302175521851
32,caltech,0.19079433381557465,10,0.9819001197814942
32,amazon,0.2333062119781971,10,0.9819001197814942
32,webcam,0.3458330750465393,10,0.9819001197814942
32,dslr,0.23006637692451476,10,0.9819001197814942
33,caltech,0.19011508524417878,10,0.9816699266433716
33,amazon,0.23296152278780938,10,0.9816699266433716
33,webcam,0.3478481784462929,10,0.9816699266433716
33,dslr,0.22907520532608033,10,0.9816699266433716
34,caltech,0.1877532459795475,10,0.9814387202262879
34,amazon,0.23740617036819459,10,0.9814387202262879
34,webcam,0.34556573033332827,10,0.9814387202262879
34,dslr,0.22927484661340714,10,0.9814387202262879
35,caltech,0.18809564411640167,10,0.9812088489532471
35,amazon,0.23652448430657386,10,0.9812088489532471
35,webcam,0.3476700946688652,10,0.9812088489532471
35,dslr,0.2277097687125206,10,0.9812088489532471
36,caltech,0.1908925212919712,10,0.9809809029102325
36,amazon,0.23697059527039527,10,0.9809809029102325
36,webcam,0.34536470621824267,10,0.9809809029102325
36,dslr,0.226772178709507,10,0.9809809029102325
37,caltech,0.18908354341983796,10,0.9807545840740204
37,amazon,0.2355263315141201,10,0.9807545840740204
37,webcam,0.34617922604084017,10,0.9807545840740204
37,dslr,0.22921090424060822,10,0.9807545840740204
38,caltech,0.19051918163895606,10,0.9805295705795288
38,amazon,0.23493266329169274,10,0.9805295705795288
38,webcam,0.34535654783248904,10,0.9805295705795288
38,dslr,0.22919160574674607,10,0.9805295705795288
39,caltech,0.18877822905778885,10,0.980302608013153
39,amazon,0.2371683694422245,10,0.980302608013153
39,webcam,0.3448330253362656,10,0.980302608013153
39,dslr,0.22922037541866302,10,0.980302608013153
40,caltech,0.1887485757470131,10,0.9800764858722687
40,amazon,0.2369775578379631,10,0.9800764858722687
40,webcam,0.34418933391571044,10,0.9800764858722687
40,dslr,0.23008452355861664,10,0.9800764858722687
41,caltech,0.18880752995610237,10,0.9798511922359466
41,amazon,0.2371380038559437,10,0.9798511922359466
41,webcam,0.34423640817403794,10,0.9798511922359466
41,dslr,0.22981805652379989,10,0.9798511922359466
42,caltech,0.18961504548788072,10,0.97962965965271
42,amazon,0.2381845586001873,10,0.97962965965271
42,webcam,0.34250508397817614,10,0.97962965965271
42,dslr,0.22969530671834945,10,0.97962965965271
43,caltech,0.1889789082109928,10,0.9794079244136811
43,amazon,0.23819482699036598,10,0.9794079244136811
43,webcam,0.3441623494029045,10,0.9794079244136811
43,dslr,0.22866391986608506,10,0.9794079244136811
44,caltech,0.1897771067917347,10,0.9791870713233948
44,amazon,0.23816701844334603,10,0.9791870713233948
44,webcam,0.3440974146127701,10,0.9791870713233948
44,dslr,0.22795845568180084,10,0.9791870713233948
45,caltech,0.18991147428750993,10,0.9789692163467407
45,amazon,0.23836721256375312,10,0.9789692163467407
45,webcam,0.3445433139801025,10,0.9789692163467407
45,dslr,0.2271779954433441,10,0.9789692163467407
46,caltech,0.18944343477487563,10,0.9787521541118622
46,amazon,0.23923470452427864,10,0.9787521541118622
46,webcam,0.34422525465488435,10,0.9787521541118622
46,dslr,0.22709659934043885,10,0.9787521541118622
47,caltech,0.18903594389557837,10,0.9785372972488403
47,amazon,0.2395062640309334,10,0.9785372972488403
47,webcam,0.3449552610516548,10,0.9785372972488403
47,dslr,0.22650255113840104,10,0.9785372972488403
48,caltech,0.18892431184649466,10,0.9783244490623474
48,amazon,0.239848642796278,10,0.9783244490623474
48,webcam,0.34508098661899567,10,0.9783244490623474
48,dslr,0.22614606320858002,10,0.9783244490623474
49,caltech,0.18662491515278817,10,0.9781141757965088
49,amazon,0.2375890389084816,10,0.9781141757965088
49,webcam,0.34634100943803786,10,0.9781141757965088
49,dslr,0.22944504022598267,10,0.9781141757965088
50,caltech,0.18758694604039192,10,0.9779061377048492
50,amazon,0.2375497691333294,10,0.9779061377048492
50,webcam,0.3470961108803749,10,0.9779061377048492
50,dslr,0.22776717841625213,10,0.9779061377048492
51,caltech,0.18480594903230668,10,0.9777033627033234
51,amazon,0.2366235576570034,10,0.9777033627033234
51,webcam,0.3490459159016609,10,0.9777033627033234
51,dslr,0.22952457815408706,10,0.9777033627033234
52,caltech,0.1854340597987175,10,0.977503103017807
52,amazon,0.2380591779947281,10,0.977503103017807
52,webcam,0.34752426743507386,10,0.977503103017807
52,dslr,0.2289824903011322,10,0.977503103017807
53,caltech,0.18737103044986725,10,0.977301436662674
53,amazon,0.2371924787759781,10,0.977301436662674
53,webcam,0.34756859987974165,10,0.977301436662674
53,dslr,0.2278678834438324,10,0.977301436662674
54,caltech,0.19046543836593627,10,0.9771075427532196
54,amazon,0.24050117954611777,10,0.9771075427532196
54,webcam,0.3410389915108681,10,0.9771075427532196
54,dslr,0.22799440175294877,10,0.9771075427532196
55,caltech,0.1894934020936489,10,0.9769124448299408
55,amazon,0.24165256470441818,10,0.9769124448299408
55,webcam,0.3408017084002495,10,0.9769124448299408
55,dslr,0.22805231511592866,10,0.9769124448299408
56,caltech,0.18953737765550613,10,0.9767124474048614
56,amazon,0.24057409763336182,10,0.9767124474048614
56,webcam,0.3449494957923889,10,0.9767124474048614
56,dslr,0.2249390333890915,10,0.9767124474048614
57,caltech,0.1895400933921337,10,0.9765097737312317
57,amazon,0.23968999311327935,10,0.9765097737312317
57,webcam,0.34803171306848524,10,0.9765097737312317
57,dslr,0.22273820340633393,10,0.9765097737312317
58,caltech,0.18944901898503302,10,0.9763072431087494
58,amazon,0.24025170281529426,10,0.9763072431087494
58,webcam,0.3480425029993057,10,0.9763072431087494
58,dslr,0.22225677967071533,10,0.9763072431087494
59,caltech,0.18944668993353844,10,0.9761048078536987
59,amazon,0.23981646001338958,10,0.9761048078536987
59,webcam,0.35067581534385683,10,0.9761048078536987
59,dslr,0.22006104290485382,10,0.9761048078536987
60,caltech,0.18862308263778688,10,0.97590252161026
60,amazon,0.24016783088445665,10,0.97590252161026
60,webcam,0.3512367933988571,10,0.97590252161026
60,dslr,0.21997230052947997,10,0.97590252161026
61,caltech,0.18860285580158234,10,0.9756999552249909
61,amazon,0.24081266969442366,10,0.9756999552249909
61,webcam,0.35268823951482775,10,0.9756999552249909
61,dslr,0.21789620965719222,10,0.9756999552249909
62,caltech,0.1882245883345604,10,0.9754986047744751
62,amazon,0.24053867608308793,10,0.9754986047744751
62,webcam,0.35275002121925353,10,0.9754986047744751
62,dslr,0.21848669946193694,10,0.9754986047744751
63,caltech,0.18745914548635484,10,0.9752989053726197
63,amazon,0.24070566147565842,10,0.9752989053726197
63,webcam,0.35400390625,10,0.9752989053726197
63,dslr,0.2178312823176384,10,0.9752989053726197
64,caltech,0.186290942132473,10,0.9751049160957337
64,amazon,0.24279779568314552,10,0.9751049160957337
64,webcam,0.35030086189508436,10,0.9751049160957337
64,dslr,0.2206104055047035,10,0.9751049160957337
65,caltech,0.18673164993524552,10,0.9749083936214447
65,amazon,0.24209085777401923,10,0.9749083936214447
65,webcam,0.3531384617090225,10,0.9749083936214447
65,dslr,0.21803903728723525,10,0.9749083936214447
66,caltech,0.18693369179964064,10,0.9747115492820739
66,amazon,0.24222442582249643,10,0.9747115492820739
66,webcam,0.3536897197365761,10,0.9747115492820739
66,dslr,0.21715215891599654,10,0.9747115492820739
67,caltech,0.18742721006274224,10,0.974515962600708
67,amazon,0.2374696411192417,10,0.974515962600708
67,webcam,0.35724264234304426,10,0.974515962600708
67,dslr,0.21786049753427505,10,0.974515962600708
68,caltech,0.18730872943997384,10,0.9743217349052429
68,amazon,0.23753055930137634,10,0.9743217349052429
68,webcam,0.35765756517648695,10,0.9743217349052429
68,dslr,0.21750314831733703,10,0.9743217349052429
69,caltech,0.1876016601920128,10,0.9741259038448333
69,amazon,0.24056477546691896,10,0.9741259038448333
69,webcam,0.35656764805316926,10,0.9741259038448333
69,dslr,0.21526590883731841,10,0.9741259038448333
70,caltech,0.18605164662003518,10,0.9739339590072632
70,amazon,0.24039261788129807,10,0.9739339590072632
70,webcam,0.3575320616364479,10,0.9739339590072632
70,dslr,0.21602367460727692,10,0.9739339590072632
71,caltech,0.18596701249480246,10,0.9737422943115235
71,amazon,0.2406992308795452,10,0.9737422943115235
71,webcam,0.35763691663742064,10,0.9737422943115235
71,dslr,0.2156968429684639,10,0.9737422943115235
72,caltech,0.185318910330534,10,0.9735516667366028
72,amazon,0.24270434454083442,10,0.9735516667366028
72,webcam,0.3572786509990692,10,0.9735516667366028
72,dslr,0.21469806730747223,10,0.9735516667366028
73,caltech,0.19536539539694786,10,0.9734144449234009
73,amazon,0.23990598171949387,10,0.9734144449234009
73,webcam,0.3355832725763321,10,0.9734144449234009
73,dslr,0.22914534360170363,10,0.9734144449234009
74,caltech,0.18692147880792617,10,0.9732438325881958
74,amazon,0.24309792667627333,10,0.9732438325881958
74,webcam,0.3523122489452362,10,0.9732438325881958
74,dslr,0.2176683336496353,10,0.9732438325881958
75,caltech,0.18460953682661058,10,0.9730713605880738
75,amazon,0.24377788007259368,10,0.9730713605880738
75,webcam,0.35358410477638247,10,0.9730713605880738
75,dslr,0.21802846789360047,10,0.9730713605880738
76,caltech,0.18490857779979705,10,0.9728887975215912
76,amazon,0.24125169739127159,10,0.9728887975215912
76,webcam,0.36049569249153135,10,0.9728887975215912
76,dslr,0.21334402412176132,10,0.9728887975215912
77,caltech,0.1850500449538231,10,0.9727037966251373
77,amazon,0.2421061746776104,10,0.9727037966251373
77,webcam,0.3610370695590973,10,0.9727037966251373
77,dslr,0.21180669367313384,10,0.9727037966251373
78,caltech,0.18420152440667154,10,0.9725165724754333
78,amazon,0.24217530936002732,10,0.9725165724754333
78,webcam,0.3628662467002869,10,0.9725165724754333
78,dslr,0.21075691282749176,10,0.9725165724754333
79,caltech,0.1835234172642231,10,0.9723286747932434
79,amazon,0.2435631722211838,10,0.9723286747932434
79,webcam,0.3640010118484497,10,0.9723286747932434
79,dslr,0.208912393450737,10,0.9723286747932434
80,caltech,0.18400163874030112,10,0.9721397280693054
80,amazon,0.24266151264309882,10,0.9721397280693054
80,webcam,0.3653923749923706,10,0.9721397280693054
80,dslr,0.2079444944858551,10,0.9721397280693054
81,caltech,0.18406383469700813,10,0.9719507992267609
81,amazon,0.2425577975809574,10,0.9719507992267609
81,webcam,0.3661244064569473,10,0.9719507992267609
81,dslr,0.20725397169589996,10,0.9719507992267609
82,caltech,0.18434304744005203,10,0.9717615723609925
82,amazon,0.24213040620088577,10,0.9717615723609925
82,webcam,0.36712596118450164,10,0.9717615723609925
82,dslr,0.2064005747437477,10,0.9717615723609925
83,caltech,0.18429552242159844,10,0.9715728878974914
83,amazon,0.24228060841560364,10,0.9715728878974914
83,webcam,0.3674988567829132,10,0.9715728878974914
83,dslr,0.20592502057552337,10,0.9715728878974914
84,caltech,0.18441849797964097,10,0.9713843584060669
84,amazon,0.24211063981056213,10,0.9713843584060669
84,webcam,0.3681656062602997,10,0.9713843584060669
84,dslr,0.205305252969265,10,0.9713843584060669
85,caltech,0.1843794360756874,10,0.9711966991424561
85,amazon,0.24209002181887626,10,0.9711966991424561
85,webcam,0.3685083568096161,10,0.9711966991424561
85,dslr,0.2050221934914589,10,0.9711966991424561
86,caltech,0.18450201526284218,10,0.9710098445415497
86,amazon,0.24217598065733908,10,0.9710098445415497
86,webcam,0.36903048157691953,10,0.9710098445415497
86,dslr,0.20429152697324754,10,0.9710098445415497
87,caltech,0.18447514176368712,10,0.9708241760730744
87,amazon,0.2422492802143097,10,0.9708241760730744
87,webcam,0.3691367328166962,10,0.9708241760730744
87,dslr,0.20413884073495864,10,0.9708241760730744
88,caltech,0.18449038416147232,10,0.9706392467021943
88,amazon,0.2421220563352108,10,0.9706392467021943
88,webcam,0.3695499777793884,10,0.9706392467021943
88,dslr,0.2038375824689865,10,0.9706392467021943
89,caltech,0.18452291339635848,10,0.9704557478427887
89,amazon,0.24220532923936844,10,0.9704557478427887
89,webcam,0.3699775844812393,10,0.9704557478427887
89,dslr,0.20329417288303375,10,0.9704557478427887
90,caltech,0.18442734479904174,10,0.9702731251716614
90,amazon,0.24228186681866645,10,0.9702731251716614
90,webcam,0.37008587419986727,10,0.9702731251716614
90,dslr,0.2032049134373665,10,0.9702731251716614
91,caltech,0.18447443544864656,10,0.9700920641422272
91,amazon,0.24228490144014359,10,0.9700920641422272
91,webcam,0.3705034017562866,10,0.9700920641422272
91,dslr,0.2027372822165489,10,0.9700920641422272
92,caltech,0.18450914248824118,10,0.9699120819568634
92,amazon,0.24238853454589843,10,0.9699120819568634
92,webcam,0.3706211268901825,10,0.9699120819568634
92,dslr,0.20248118788003922,10,0.9699120819568634
93,caltech,0.18450185805559158,10,0.969733613729477
93,amazon,0.24246591478586196,10,0.969733613729477
93,webcam,0.37082892954349517,10,0.969733613729477
93,dslr,0.20220329016447067,10,0.969733613729477
94,caltech,0.1845103047788143,10,0.9695562958717346
94,amazon,0.24250224009156227,10,0.9695562958717346
94,webcam,0.370987543463707,10,0.9695562958717346
94,dslr,0.20199991762638092,10,0.9695562958717346
95,caltech,0.18452247902750968,10,0.9693805336952209
95,amazon,0.24257349148392676,10,0.9693805336952209
95,webcam,0.3712418168783188,10,0.9693805336952209
95,dslr,0.20166220664978027,10,0.9693805336952209
96,caltech,0.18451398983597755,10,0.9692058444023133
96,amazon,0.24263633787631989,10,0.9692058444023133
96,webcam,0.3714511632919312,10,0.9692058444023133
96,dslr,0.20139850080013275,10,0.9692058444023133
97,caltech,0.1844963863492012,10,0.9690326988697052
97,amazon,0.24257198497653007,10,0.9690326988697052
97,webcam,0.3716165810823441,10,0.9690326988697052
97,dslr,0.2013150319457054,10,0.9690326988697052
98,caltech,0.1845241904258728,10,0.9688608467578887
98,amazon,0.24272544160485268,10,0.9688608467578887
98,webcam,0.3718198388814926,10,0.9688608467578887
98,dslr,0.20093051642179488,10,0.9688608467578887
99,caltech,0.18448264002799988,10,0.9686904907226562
99,amazon,0.24269189611077308,10,0.9686904907226562
99,webcam,0.3719088524580002,10,0.9686904907226562
99,dslr,0.20091660171747208,10,0.9686904907226562
