round,domain,avg_weight_across_classes,n_classes,G_avg_norm
0,caltech,0.24159355834126472,10,0.9878723561763764
0,amazon,0.17600131407380104,10,0.9878723561763764
0,webcam,0.2682855144143105,10,0.9878723561763764
0,dslr,0.31411960124969485,10,0.9878723561763764
1,caltech,0.23381071761250496,10,0.9877466976642608
1,amazon,0.19108329936861992,10,0.9877466976642608
1,webcam,0.31187084317207336,10,0.9877466976642608
1,dslr,0.26323512494564055,10,0.9877466976642608
2,caltech,0.23091961145401002,10,0.9875961482524872
2,amazon,0.19696707725524903,10,0.9875961482524872
2,webcam,0.32767500579357145,10,0.9875961482524872
2,dslr,0.24443830028176308,10,0.9875961482524872
3,caltech,0.2261633113026619,10,0.987427830696106
3,amazon,0.19664937853813172,10,0.987427830696106
3,webcam,0.3289286091923714,10,0.987427830696106
3,dslr,0.2482587143778801,10,0.987427830696106
4,caltech,0.2215511366724968,10,0.9872569799423218
4,amazon,0.19334130883216857,10,0.9872569799423218
4,webcam,0.3339961439371109,10,0.9872569799423218
4,dslr,0.25111141353845595,10,0.9872569799423218
5,caltech,0.2236287772655487,10,0.9870825052261353
5,amazon,0.19427599161863326,10,0.9870825052261353
5,webcam,0.3349257305264473,10,0.9870825052261353
5,dslr,0.24716949015855788,10,0.9870825052261353
6,caltech,0.2217561811208725,10,0.9868967533111572
6,amazon,0.19165918752551078,10,0.9868967533111572
6,webcam,0.3463314935564995,10,0.9868967533111572
6,dslr,0.24025314152240754,10,0.9868967533111572
7,caltech,0.22218642383813858,10,0.9867060065269471
7,amazon,0.19198803901672362,10,0.9867060065269471
7,webcam,0.3477333515882492,10,0.9867060065269471
7,dslr,0.23809217661619186,10,0.9867060065269471
8,caltech,0.22000014930963516,10,0.9865100920200348
8,amazon,0.19281056597828866,10,0.9865100920200348
8,webcam,0.3517142966389656,10,0.9865100920200348
8,dslr,0.2354749858379364,10,0.9865100920200348
9,caltech,0.21821460425853728,10,0.9863130152225494
9,amazon,0.192367597669363,10,0.9863130152225494
9,webcam,0.34856254458427427,10,0.9863130152225494
9,dslr,0.24085526168346405,10,0.9863130152225494
10,caltech,0.21998416185379027,10,0.9861129522323608
10,amazon,0.19254490211606026,10,0.9861129522323608
10,webcam,0.3506717711687088,10,0.9861129522323608
10,dslr,0.23679919242858888,10,0.9861129522323608
11,caltech,0.22094367146492006,10,0.9859134316444397
11,amazon,0.1923707604408264,10,0.9859134316444397
11,webcam,0.3466818526387215,10,0.9859134316444397
11,dslr,0.2400037243962288,10,0.9859134316444397
12,caltech,0.22114924490451812,10,0.9857128441333771
12,amazon,0.19199174121022225,10,0.9857128441333771
12,webcam,0.34855630099773405,10,0.9857128441333771
12,dslr,0.23830269873142243,10,0.9857128441333771
13,caltech,0.22178089320659639,10,0.985513174533844
13,amazon,0.19207555055618286,10,0.985513174533844
13,webcam,0.34567377120256426,10,0.985513174533844
13,dslr,0.24046980142593383,10,0.985513174533844
14,caltech,0.2216959074139595,10,0.985313606262207
14,amazon,0.19353599846363068,10,0.985313606262207
14,webcam,0.3465398848056793,10,0.985313606262207
14,dslr,0.23822820484638213,10,0.985313606262207
15,caltech,0.2227448508143425,10,0.9851158261299133
15,amazon,0.19292932450771333,10,0.9851158261299133
15,webcam,0.3458374321460724,10,0.9851158261299133
15,dslr,0.2384883850812912,10,0.9851158261299133
16,caltech,0.22309832125902176,10,0.9849190354347229
16,amazon,0.1923065260052681,10,0.9849190354347229
16,webcam,0.346761579811573,10,0.9849190354347229
16,dslr,0.23783356100320815,10,0.9849190354347229
17,caltech,0.22200275212526321,10,0.9847226560115814
17,amazon,0.1930933639407158,10,0.9847226560115814
17,webcam,0.34473179280757904,10,0.9847226560115814
17,dslr,0.2401720777153969,10,0.9847226560115814
