round,domain,avg_weight_across_classes,n_classes,G_avg_norm
23,cartoon,0.442471444606781,7,0.9859999077660697
23,sketch,0.18451362741844995,7,0.9859999077660697
24,photo,0.17485758236476354,7,0.9856562699590411
24,art_painting,0.20573412414108003,7,0.9856562699590411
24,cartoon,0.43048605961459024,7,0.9856562699590411
24,sketch,0.18892222536461695,7,0.9856562699590411
25,photo,0.17651380172797612,7,0.9853021247046334
25,art_painting,0.20196283289364406,7,0.9853021247046334
25,cartoon,0.43521876633167267,7,0.9853021247046334
25,sketch,0.18630458201680863,7,0.9853021247046334
26,photo,0.1736256554722786,7,0.9849186199051994
26,art_painting,0.19887468538114003,7,0.9849186199051994
26,cartoon,0.44553295629365103,7,0.9849186199051994
26,sketch,0.1819667017885617,7,0.9849186199051994
27,photo,0.1742174912776266,7,0.9845384785107204
27,art_painting,0.19574480397360666,7,0.9845384785107204
27,cartoon,0.4462311438151768,7,0.9845384785107204
27,sketch,0.18380656093358994,7,0.9845384785107204
28,photo,0.17293586262634822,7,0.9841412731579372
28,art_painting,0.1938857723559652,7,0.9841412731579372
28,cartoon,0.45237238705158234,7,0.9841412731579372
28,sketch,0.18080597690173558,7,0.9841412731579372
29,photo,0.17373174109629222,7,0.9837501474789211
29,art_painting,0.1937668121286801,7,0.9837501474789211
29,cartoon,0.45123561791011263,7,0.9837501474789211
29,sketch,0.18126584057297027,7,0.9837501474789211
30,photo,0.17332942358085088,7,0.9833537595612662
30,art_painting,0.19168776805911744,7,0.9833537595612662
30,cartoon,0.4548708498477936,7,0.9833537595612662
30,sketch,0.18011195531913213,7,0.9833537595612662
31,photo,0.17322843202522822,7,0.9829440202031817
31,art_painting,0.19348214247397014,7,0.9829440202031817
31,cartoon,0.4545987972191402,7,0.9829440202031817
31,sketch,0.17869061870234354,7,0.9829440202031817
32,photo,0.17342752643993922,7,0.9825390917914254
32,art_painting,0.19377452454396657,7,0.9825390917914254
32,cartoon,0.45411883507456097,7,0.9825390917914254
32,sketch,0.1786791096840586,7,0.9825390917914254
33,photo,0.17404631951025554,7,0.9821361984525409
33,art_painting,0.19327070883342198,7,0.9821361984525409
33,cartoon,0.4542557256562369,7,0.9821361984525409
33,sketch,0.1784272470644542,7,0.9821361984525409
34,photo,0.17441274864333017,7,0.981732964515686
34,art_painting,0.1931094718830926,7,0.981732964515686
34,cartoon,0.45441713503428866,7,0.981732964515686
34,sketch,0.1780606284737587,7,0.981732964515686
35,photo,0.1744313452925001,7,0.9813334345817566
35,art_painting,0.19082609457629068,7,0.9813334345817566
35,cartoon,0.45666374479021343,7,0.9813334345817566
35,sketch,0.17807882172720774,7,0.9813334345817566
36,photo,0.17423789416040694,7,0.9809351989201137
36,art_painting,0.1918671727180481,7,0.9809351989201137
36,cartoon,0.4562763763325555,7,0.9809351989201137
36,sketch,0.17761857169015066,7,0.9809351989201137
37,photo,0.17426099415336335,7,0.9805386747632708
37,art_painting,0.19146515961204255,7,0.9805386747632708
37,cartoon,0.4569164961576462,7,0.9805386747632708
37,sketch,0.17735732666083745,7,0.9805386747632708
38,photo,0.17441835786615098,7,0.9801435896328518
38,art_painting,0.19289446941443852,7,0.9801435896328518
38,cartoon,0.4559803988252367,7,0.9801435896328518
38,sketch,0.17670678879533494,7,0.9801435896328518
39,photo,0.1746949851512909,7,0.9797533580235073
39,art_painting,0.1912564081805093,7,0.9797533580235073
39,cartoon,0.4570987586464201,7,0.9797533580235073
39,sketch,0.17694984802177974,7,0.9797533580235073
40,photo,0.17454603953020914,7,0.9793653743607658
40,art_painting,0.19120605289936066,7,0.9793653743607658
40,cartoon,0.4574583853994097,7,0.9793653743607658
40,sketch,0.17678952536412648,7,0.9793653743607658
41,photo,0.17531858491046087,7,0.9789804305349078
41,art_painting,0.19245822301932744,7,0.9789804305349078
41,cartoon,0.4558654384953635,7,0.9789804305349078
41,sketch,0.17635774505989893,7,0.9789804305349078
42,photo,0.17608706759554998,7,0.9785993099212646
42,art_painting,0.1913725882768631,7,0.9785993099212646
42,cartoon,0.4562722465821675,7,0.9785993099212646
42,sketch,0.17626810925347464,7,0.9785993099212646
43,photo,0.17674615234136581,7,0.9782224978719439
43,art_painting,0.1898954255240304,7,0.9782224978719439
43,cartoon,0.4573703088930675,7,0.9782224978719439
43,sketch,0.17598812601396016,7,0.9782224978719439
44,photo,0.1786812288420541,7,0.977865491594587
44,art_painting,0.1918538585305214,7,0.977865491594587
44,cartoon,0.4519917092153004,7,0.977865491594587
44,sketch,0.17747319170406886,7,0.977865491594587
45,photo,0.17466379595654352,7,0.9775107077189854
45,art_painting,0.19364128793988908,7,0.9775107077189854
45,cartoon,0.45323182003838675,7,0.9775107077189854
45,sketch,0.17846310564449855,7,0.9775107077189854
46,photo,0.1748707400900977,7,0.9771546976906913
46,art_painting,0.1946882094655718,7,0.9771546976906913
46,cartoon,0.4528580244098391,7,0.9771546976906913
46,sketch,0.1775830505149705,7,0.9771546976906913
47,photo,0.17554818519524165,7,0.9768203156335014
47,art_painting,0.1967049709388188,7,0.9768203156335014
47,cartoon,0.44860812595912386,7,0.9768203156335014
47,sketch,0.17913871152060373,7,0.9768203156335014
48,photo,0.17466650903224945,7,0.9764769077301025
48,art_painting,0.19222370960882731,7,0.9764769077301025
48,cartoon,0.45461792179516386,7,0.9764769077301025
48,sketch,0.17849186807870865,7,0.9764769077301025
49,photo,0.17560262233018875,7,0.9761537824358258
49,art_painting,0.19533461225884302,7,0.9761537824358258
49,cartoon,0.4487255428518568,7,0.9761537824358258
49,sketch,0.18033720127173833,7,0.9761537824358258
50,photo,0.17765175657612936,7,0.9758352296692985
50,art_painting,0.19343984978539602,7,0.9758352296692985
50,cartoon,0.44865369158131735,7,0.9758352296692985
50,sketch,0.18025468715599605,7,0.9758352296692985
51,photo,0.17869784150804793,7,0.9755208151681083
51,art_painting,0.19538223424128123,7,0.9755208151681083
51,cartoon,0.448988282254764,7,0.9755208151681083
51,sketch,0.17693161432232177,7,0.9755208151681083
52,photo,0.18045613382543838,7,0.9752012746674674
52,art_painting,0.1934290166412081,7,0.9752012746674674
52,cartoon,0.4507586934736797,7,0.9752012746674674
52,sketch,0.17535617521830968,7,0.9752012746674674
53,photo,0.18070038301604135,7,0.9748780131340027
53,art_painting,0.1913297942706517,7,0.9748780131340027
53,cartoon,0.4530502898352487,7,0.9748780131340027
53,sketch,0.17491954458611353,7,0.9748780131340027
54,photo,0.18044463438647135,7,0.9745502557073321
54,art_painting,0.19223498446600779,7,0.9745502557073321
54,cartoon,0.4540638391460691,7,0.9745502557073321
54,sketch,0.17325653348650252,7,0.9745502557073321
55,photo,0.17972506795610702,7,0.9742183259555272
55,art_painting,0.19066792726516724,7,0.9742183259555272
55,cartoon,0.45857434400490354,7,0.9742183259555272
55,sketch,0.17103268844740732,7,0.9742183259555272
